item,feedfieldname,title,description,datatypecode,filecode,tablecode,heirarchycode,units,polarity,includedinscores,pillaritem,catitem,reglicflag,valuescoreexists,asrepexists,sourceexists
68,IntegratedStrategyInMdAndA,Integrated Strategy in MD&A,"Does the company explicitly integrate financial and extra-financial factors in its management discussion and analysis (MD&A) section in the annual report? - integration of the extra financial information within the company's business review section  - US-based companies, 10-K under the management discussions and analysis section  - UK-based companies, Strategic Report within the annual report containing extra-financial data",1,4,5,1,Y/N,Positive,TRESG,5,16,,Y,N,Y
69,Sdg10ReducedInequality,SDG 10 Reduced Inequality,Does the company support the UN Sustainable Development Goal 10 (SDG 10) Reduced Inequality? -company is supporting Goal 10 of SDG to Reduce inequality within and among countries -data considered only from SDG Goals,1,4,5,1,Y/N,Positive,,5,16,,N,N,Y
70,Sdg11SustainableCitiesAndCommunities,SDG 11 Sustainable Cities and Communities,"Does the company support the UN Sustainable Development Goal 11 (SDG 11) Sustainable Cities and Communities? -company is supporting Goal 11 of SDG to Make cities inclusive, safe, resilient and sustainable -data considered only from SDG Goals",1,4,5,1,Y/N,Positive,,5,16,,N,N,Y
71,Sdg12ResponsibleConsumptionAndProduction,SDG 12 Responsible Consumption and Production,Does the company support the UN Sustainable Development Goal 12 (SDG 12) Responsible Consumption and Production? -company is supporting Goal 12 of SDG to Ensure sustainable consumption and production patterns -data considered only from SDG Goals,1,4,5,1,Y/N,Positive,,5,16,,N,N,Y
72,Sdg13ClimateAction,SDG 13 Climate Action,Does the company support the UN Sustainable Development Goal 13 (SDG 13) Climate Action? -company is supporting Goal 13 of SDG to Take urgent action to combat climate change and its impacts -data considered only from SDG Goals,1,4,5,1,Y/N,Positive,,5,16,,N,N,Y
73,Sdg14LifeBelowWater,SDG 14 Life Below Water,"Does the company support the UN Sustainable Development Goal 14 (SDG 14) Life Below Water? -company is supporting Goal 14 of SDG to Conserve and sustainably use of the oceans, seas and marine resources -data considered only from SDG Goals",1,4,5,1,Y/N,Positive,,5,16,,N,N,Y
74,Sdg15LifeOnLand,SDG 15 Life on Land,"Does the company support the UN Sustainable Development Goal 15 (SDG 15) Life on Land? -company is supporting Goal 15 of SDG to Sustainably manage forests, combat desertification, halt and reverse land degradation, halt biodiversity loss -data considered only from SDG Goals",1,4,5,1,Y/N,Positive,,5,16,,N,N,Y
75,Sdg16PeaceAndJusticeStrongInstitutions,SDG 16 Peace and Justice Strong Institutions,"Does the company support the UN Sustainable Development Goal 16 (SDG 16) Peace and Justice Strong Institutions? -company is supporting Goal 16 of SDG to Promote just, peaceful and inclusive societies. -data considered only from SDG Goals",1,4,5,1,Y/N,Positive,,5,16,,N,N,Y
76,Sdg17PartnershipsToAchieveTheGoal,SDG 17 Partnerships to achieve the Goal,Does the company support the UN Sustainable Development Goal 17 (SDG 17) Partnerships to achieve the Goal? -company is supporting Goal 17 of SDG to Revitalize the global partnership for sustainable development -data considered only from SDG Goals,1,4,5,1,Y/N,Positive,,5,16,,N,N,Y
77,Sdg1NoPoverty,SDG 1 No Poverty,Does the company support the UN Sustainable Development Goal 1 (SDG 1) No Poverty? -company is supporting Goal 1 of SDG to End poverty in all its forms everywhere -considered only from SDG Goals,1,4,5,1,Y/N,Positive,,5,16,,N,N,Y
78,Sdg2ZeroHunger,SDG 2 Zero Hunger,Does the company support the UN Sustainable Development Goal 2 (SDG 2) Zero Hunger? -company is supporting Goal 2 of SDG to end hunger achieve food security and improved nutrition and promote sustainable agriculture -data considered only from SDG Goals,1,4,5,1,Y/N,Positive,,5,16,,N,N,Y
79,Sdg3GoodHealthAndWellbeing,SDG 3 Good Health and Well-being,Does the company support the UN Sustainable Development Goal 3 (SDG 3) Good Health and Well-being? -company is supporting Goal 3 of SDG to ensure healthy lives and promote well-being for all -data considered only from SDG Goals,1,4,5,1,Y/N,Positive,,5,16,,N,N,Y
80,Sdg4QualityEducation,SDG 4 Quality Education,Does the company support the UN Sustainable Development Goal 4 (SDG 4) Quality Education? -company is supporting Goal 4 of SDG to ensure inclusive and equitable quality education and promote lifelong learning opportunities for all -data considered only from SDG Goals,1,4,5,1,Y/N,Positive,,5,16,,N,N,Y
81,Sdg5GenderEquality,SDG 5 Gender Equality,Does the company support the UN Sustainable Development Goal 5 (SDG 5) Gender Equality? -company is supporting Goal 5 of SDG to Achieve gender equality and empower all women and girls -data considered only from SDG Goal,1,4,5,1,Y/N,Positive,,5,16,,N,N,Y
